Species,FbSpecCode,Order,Family
Enteromius stigmatopygus,2425,Cypriniformes,Cyprinidae
Enteromius subinensis,2426,Cypriniformes,Cyprinidae
Enteromius sublineatus,2427,Cypriniformes,Cyprinidae
Enteromius sylvaticus,5310,Cypriniformes,Cyprinidae
Enteromius syntrechalepis,11481,Cypriniformes,Cyprinidae
Enteromius taeniopleura,11482,Cypriniformes,Cyprinidae
Enteromius taeniurus,11484,Cypriniformes,Cyprinidae
Enteromius tegulifer,11488,Cypriniformes,Cyprinidae
Enteromius tetraspilus,11489,Cypriniformes,Cyprinidae
Enteromius tetrastigma,11490,Cypriniformes,Cyprinidae
Enteromius teugelsi,66239,Cypriniformes,Cyprinidae
Enteromius thamalakanensis,11491,Cypriniformes,Cyprinidae
Enteromius thespesios,69153,Cypriniformes,Cyprinidae
Enteromius thysi,11492,Cypriniformes,Cyprinidae
Enteromius tiekoroi,5315,Cypriniformes,Cyprinidae
Enteromius tomiensis,11493,Cypriniformes,Cyprinidae
Enteromius tongaensis,11494,Cypriniformes,Cyprinidae
Enteromius toppini,8388,Cypriniformes,Cyprinidae
Enteromius traorei,2428,Cypriniformes,Cyprinidae
Enteromius treurensis,6098,Cypriniformes,Cyprinidae
Enteromius trimaculatus,5417,Cypriniformes,Cyprinidae
Enteromius trinotatus,11496,Cypriniformes,Cyprinidae
Enteromius trispiloides,5312,Cypriniformes,Cyprinidae
Enteromius trispilomimus,11497,Cypriniformes,Cyprinidae
Enteromius trispilopleura,11498,Cypriniformes,Cyprinidae
Enteromius trispilos,2429,Cypriniformes,Cyprinidae
Enteromius turkanae,62081,Cypriniformes,Cyprinidae
Enteromius unitaeniatus,11500,Cypriniformes,Cyprinidae
Enteromius urostigma,11501,Cypriniformes,Cyprinidae
Enteromius usambarae,11503,Cypriniformes,Cyprinidae
Enteromius validus,67899,Cypriniformes,Cyprinidae
Enteromius vanderysti,11504,Cypriniformes,Cyprinidae
Enteromius vandewallei,68134,Cypriniformes,Cyprinidae
Enteromius venustus,60746,Cypriniformes,Cyprinidae
Enteromius viktorianus,11505,Cypriniformes,Cyprinidae
Enteromius viviparus,11506,Cypriniformes,Cyprinidae
Enteromius walkeri,2431,Cypriniformes,Cyprinidae
Enteromius walshae,69066,Cypriniformes,Cyprinidae
Enteromius wellmani,11507,Cypriniformes,Cyprinidae
Enteromius yeiensis,11508,Cypriniformes,Cyprinidae
Enteromius yongei,11509,Cypriniformes,Cyprinidae
Enteromius zalbiensis,5329,Cypriniformes,Cyprinidae
Enteromius zanzibaricus,11510,Cypriniformes,Cyprinidae
Epiplatys annulatus,9821,Cyprinodontiformes,Nothobranchiidae
Epiplatys ansorgii,60566,Cyprinodontiformes,Nothobranchiidae
Epiplatys atratus,67085,Cyprinodontiformes,Nothobranchiidae
Epiplatys barmoiensis,9823,Cyprinodontiformes,Nothobranchiidae
Epiplatys biafranus,9825,Cyprinodontiformes,Nothobranchiidae
Epiplatys bifasciatus,2474,Cyprinodontiformes,Nothobranchiidae
Epiplatys cashneri,69812,Cyprinodontiformes,Nothobranchiidae
Epiplatys chaperi,2475,Cyprinodontiformes,Nothobranchiidae
Epiplatys chevalieri,12734,Cyprinodontiformes,Nothobranchiidae
Epiplatys coccinatus,9826,Cyprinodontiformes,Nothobranchiidae
Epiplatys dageti,2476,Cyprinodontiformes,Nothobranchiidae
Epiplatys duboisi,9706,Cyprinodontiformes,Nothobranchiidae
Epiplatys esekanus,9827,Cyprinodontiformes,Nothobranchiidae
Epiplatys etzeli,2477,Cyprinodontiformes,Nothobranchiidae
Epiplatys fasciolatus,9828,Cyprinodontiformes,Nothobranchiidae
Epiplatys grahami,9830,Cyprinodontiformes,Nothobranchiidae
Epiplatys guineensis,49553,Cyprinodontiformes,Nothobranchiidae
Epiplatys hildegardae,9831,Cyprinodontiformes,Nothobranchiidae
Epiplatys infrafasciatus,65895,Cyprinodontiformes,Nothobranchiidae
Epiplatys josianae,9833,Cyprinodontiformes,Nothobranchiidae
Epiplatys lamottei,9834,Cyprinodontiformes,Nothobranchiidae
Epiplatys longiventralis,9836,Cyprinodontiformes,Nothobranchiidae
Epiplatys maeseni,2470,Cyprinodontiformes,Nothobranchiidae
Epiplatys mesogramma,9847,Cyprinodontiformes,Nothobranchiidae
Epiplatys multifasciatus,9837,Cyprinodontiformes,Nothobranchiidae
Epiplatys neumanni,49554,Cyprinodontiformes,Nothobranchiidae
Epiplatys njalaensis,9838,Cyprinodontiformes,Nothobranchiidae
Epiplatys olbrechtsi,2478,Cyprinodontiformes,Nothobranchiidae
Epiplatys phoeniceps,9839,Cyprinodontiformes,Nothobranchiidae
Epiplatys roloffi,9840,Cyprinodontiformes,Nothobranchiidae
Epiplatys ruhkopfi,9841,Cyprinodontiformes,Nothobranchiidae
Epiplatys sangmelinensis,9842,Cyprinodontiformes,Nothobranchiidae
Epiplatys sexfasciatus,9843,Cyprinodontiformes,Nothobranchiidae
Epiplatys singa,9844,Cyprinodontiformes,Nothobranchiidae
Epiplatys spilargyreius,2479,Cyprinodontiformes,Nothobranchiidae
Episemion krystallinoron,63005,Cyprinodontiformes,Nothobranchiidae
Eretmodus cyanostictus,8577,Cichliformes,Cichlidae
Eretmodus marksmithi,66753,Cichliformes,Cichlidae
Erpetoichthys calabaricus,4830,Polypteriformes,Polypteridae
Esox lucius,258,Esociformes,Esocidae
Ethmalosa fimbriata,1594,Clupeiformes,Dorosomatidae
Etia nguti,61414,Cichliformes,Cichlidae
Euchilichthys astatodon,9512,Siluriformes,Mochokidae
Euchilichthys boulengeri,9513,Siluriformes,Mochokidae
Euchilichthys dybowskii,9514,Siluriformes,Mochokidae
Euchilichthys guentheri,9515,Siluriformes,Mochokidae
Euchilichthys royauxi,9516,Siluriformes,Mochokidae
Eucinostomus melanopterus,1052,Eupercaria/misc,Gerreidae
Eugnathichthys eetveldii,11205,Characiformes,Distichodontidae
Eugnathichthys macroterolepis,11206,Characiformes,Distichodontidae
Eugnathichthys virgatus,67154,Characiformes,Distichodontidae
Eugnathogobius indicus,64890,Gobiiformes,Gobiidae
Exochochromis anagenys,2215,Cichliformes,Cichlidae
Favonigobius reichei,9945,Gobiiformes,Gobiidae
Fenerbahce devosi,66196,Cyprinodontiformes,Nothobranchiidae
