speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName	commonSpecies
Lepidotrigla cadmani	accepted name	4986	Lepidotrigla cadmani	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Scalebreast gurnard	TRUE
Lepidotrigla carolae	accepted name	4987	Lepidotrigla carolae	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Carol's gurnard	TRUE
Lepidotrigla cavillone	accepted name	1722	Lepidotrigla cavillone	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Large-scaled gurnard	TRUE
Lepidotrigla dieuzedei	synonym	10186	Lepidotrigla dieuzeidei	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Spiny gurnard	TRUE
Lepidotrigla dieuzeidei	accepted name	10186	Lepidotrigla dieuzeidei	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Spiny gurnard	TRUE
Lepidotrigla faueri	synonym	7949	Lepidotrigla faurei	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Scalybreast gurnard	TRUE
Lepidotrigla faurei	accepted name	7949	Lepidotrigla faurei	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Scalybreast gurnard	TRUE
Lepidotrigla laevispinnis	synonym	4986	Lepidotrigla cadmani	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Scalebreast gurnard	TRUE
Lepidotrigla multispinosa	accepted name	7950	Lepidotrigla multispinosa	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Indian Ocean spiny gurnard	TRUE
Lepidotrigla multispinosus	synonym	7950	Lepidotrigla multispinosa	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Indian Ocean spiny gurnard	TRUE
Lepidotrigla natalensis	synonym	7949	Lepidotrigla faurei	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Scalybreast gurnard	TRUE
Lepidotrigla omanensis	accepted name	13083	Lepidotrigla omanensis	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Oman gurnard	TRUE
Lepidotrigla spiloptera	accepted name	10366	Lepidotrigla spiloptera	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Spotwing gurnard	TRUE
Lepidotrigla stigmapteron	synonym	7949	Lepidotrigla faurei	Teleostei	Perciformes/Scorpaenoidei	Triglidae	Lepidotrigla	Scalybreast gurnard	TRUE
Lepidotus catalonicus	synonym	391	Brama brama	Teleostei	Scombriformes	Bramidae	Brama	Atlantic pomfret	TRUE
Lepidotus chilensis	synonym	391	Brama brama	Teleostei	Scombriformes	Bramidae	Brama	Atlantic pomfret	TRUE
Lepidotus princeps	synonym	3560	Taractichthys longipinnis	Teleostei	Scombriformes	Bramidae	Taractichthys	Big-scale pomfret	TRUE
Lepidozygous tapeinosoma	synonym	5683	Lepidozygus tapeinosoma	Teleostei	Ovalentaria/misc	Pomacentridae	Lepidozygus	Fusilier damselfish	TRUE
Lepidozygus anthioides	synonym	5683	Lepidozygus tapeinosoma	Teleostei	Ovalentaria/misc	Pomacentridae	Lepidozygus	Fusilier damselfish	TRUE
Lepidozygus tapeinosoma	accepted name	5683	Lepidozygus tapeinosoma	Teleostei	Ovalentaria/misc	Pomacentridae	Lepidozygus	Fusilier damselfish	TRUE
Lepidozygus tapienosoma	synonym	5683	Lepidozygus tapeinosoma	Teleostei	Ovalentaria/misc	Pomacentridae	Lepidozygus	Fusilier damselfish	TRUE
Lepimphis hippuroides	synonym	6	Coryphaena hippurus	Teleostei	Carangiformes	Coryphaenidae	Coryphaena	Common dolphinfish	TRUE
Lepimphis ruber	synonym	1783	Callanthias ruber	Teleostei	Eupercaria/misc	Callanthiidae	Callanthias	Parrot seaperch	TRUE
Lepinannocharax pteron	synonym	11247	Nannocharax pteron	Teleostei	Characiformes	Distichodontidae	Nannocharax	NA	TRUE
Lepodus saragus	synonym	391	Brama brama	Teleostei	Scombriformes	Bramidae	Brama	Atlantic pomfret	TRUE
Lepodus squamosus	synonym	391	Brama brama	Teleostei	Scombriformes	Bramidae	Brama	Atlantic pomfret	TRUE
Lepomis cyanella	synonym	3371	Lepomis cyanellus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Green sunfish	TRUE
Lepomis cyanellus	accepted name	3371	Lepomis cyanellus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Green sunfish	TRUE
Lepomis gibbosus	accepted name	3372	Lepomis gibbosus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Pumpkinseed	TRUE
Lepomis macrochira	synonym	3375	Lepomis macrochirus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Bluegill	TRUE
Lepomis macrochirus	accepted name	3375	Lepomis macrochirus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Bluegill	TRUE
Lepomis macrochirus macrochirus	synonym	3375	Lepomis macrochirus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Bluegill	TRUE
Lepomis macrochirus purpurescens	synonym	3375	Lepomis macrochirus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Bluegill	TRUE
Lepomis microlophus	accepted name	3378	Lepomis microlophus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Redear sunfish	TRUE
Lepomis purpurescens	synonym	3375	Lepomis macrochirus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Bluegill	TRUE
Lepomus cyanellus	synonym	3371	Lepomis cyanellus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Green sunfish	TRUE
Lepomus gibbosus	synonym	3372	Lepomis gibbosus	Teleostei	Centrarchiformes	Centrarchidae	Lepomis	Pumpkinseed	TRUE
Leptanthias kashiwae	synonym	13006	Pseudanthias cooperi	Teleostei	Perciformes/Serranoidei	Anthiadidae	Pseudanthias	Red-bar anthias	TRUE
Leptecheneis flaviventris	synonym	2467	Echeneis naucrates	Teleostei	Carangiformes	Echeneidae	Echeneis	Live sharksucker	TRUE
Leptecheneis naucrates	synonym	2467	Echeneis naucrates	Teleostei	Carangiformes	Echeneidae	Echeneis	Live sharksucker	TRUE
Leptenchelys pinnaceps	synonym	12888	Callechelys catostoma	Teleostei	Anguilliformes	Ophichthidae	Callechelys	Black-striped snake eel	TRUE
Leptobrotula breviventralis	accepted name	54145	Leptobrotula breviventralis	Teleostei	Ophidiiformes	Ophidiidae	Leptobrotula	NA	TRUE
Leptocephalus acuticeps	synonym	9105	Avocettina acuticeps	Teleostei	Anguilliformes	Nemichthyidae	Avocettina	Southern fintail snipe eel	TRUE
Leptocephalus affinis	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus andreae	synonym	2660	Nemichthys scolopaceus	Teleostei	Anguilliformes	Nemichthyidae	Nemichthys	Slender snipe eel	TRUE
Leptocephalus anguilloides	synonym	7445	Derichthys serpentinus	Teleostei	Anguilliformes	Derichthyidae	Derichthys	Narrownecked oceanic eel	TRUE
Leptocephalus brevirostris	synonym	35	Anguilla anguilla	Teleostei	Anguilliformes	Anguillidae	Anguilla	European eel	TRUE
Leptocephalus canaricus	synonym	2660	Nemichthys scolopaceus	Teleostei	Anguilliformes	Nemichthyidae	Nemichthys	Slender snipe eel	TRUE
Leptocephalus candidissimus	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus capensis	synonym	15664	Gnathophis capensis	Teleostei	Anguilliformes	Congridae	Gnathophis	Southern conger	TRUE
Leptocephalus conger	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus curvirostris	synonym	9107	Nemichthys curvirostris	Teleostei	Anguilliformes	Nemichthyidae	Nemichthys	Pale threadtail snipe eel	TRUE
Leptocephalus eckmani	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus ekmani	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus euryurus	synonym	9029	Anarchias euryurus	Teleostei	Anguilliformes	Muraenidae	Anarchias	NA	TRUE
Leptocephalus forsstromi	synonym	7548	Gymnothorax vicinus	Teleostei	Anguilliformes	Muraenidae	Gymnothorax	Purplemouth moray	TRUE
Leptocephalus forstromi	synonym	7548	Gymnothorax vicinus	Teleostei	Anguilliformes	Muraenidae	Gymnothorax	Purplemouth moray	TRUE
Leptocephalus gussoni	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus hyoproroides	synonym	2606	Kaupichthys hyoproroides	Teleostei	Anguilliformes	Chlopsidae	Kaupichthys	False moray	TRUE
Leptocephalus inaequalis	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus ingolfianus	synonym	9100	Nessorhamphus ingolfianus	Teleostei	Anguilliformes	Derichthyidae	Nessorhamphus	Duckbill oceanic eel	TRUE
Leptocephalus inornatus	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus kefersteini	synonym	1713	Echelus myrus	Teleostei	Anguilliformes	Ophichthidae	Echelus	Painted eel	TRUE
Leptocephalus lanceolatoides	synonym	54589	Serrivomer lanceolatoides	Teleostei	Anguilliformes	Serrivomeridae	Serrivomer	Bronze sawtooth eel	TRUE
