speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName	commonSpecies
Aphyosemion calliurum calliurum	synonym	9718	Aphyosemion calliurum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Banner lyretail	TRUE
Aphyosemion calliurus australis	synonym	8770	Aphyosemion australe	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Lyretail panchax	TRUE
Aphyosemion cameronense	accepted name	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion cameronense cameronense	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion cameronense haasi	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion cameronense halleri	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion cameronense obscurum	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion cameronensis	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion campomaanense	accepted name	64894	Aphyosemion campomaanense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion carnapi	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion castaneum	accepted name	66275	Aphyosemion castaneum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion caudofasciatum	accepted name	9720	Aphyosemion caudofasciatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Caudal-stripe killi	TRUE
Aphyosemion cauveti	synonym	26432	Scriptaphyosemion cauveti	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	Kindia killi	TRUE
Aphyosemion celiae	accepted name	9723	Aphyosemion celiae	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion celiae celiae	synonym	9723	Aphyosemion celiae	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion celiae winifredae	synonym	9723	Aphyosemion celiae	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion chauchei	accepted name	9722	Aphyosemion chauchei	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion chaytori	synonym	60514	Scriptaphyosemion chaytori	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion christyi	accepted name	9724	Aphyosemion christyi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Christy's Lyretail	TRUE
Aphyosemion cinnamomeum	synonym	9725	Fundulopanchax cinnamomeus	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Cinnamon Killi	TRUE
Aphyosemion claudeni	synonym	67241	Fundulopanchax clauseni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion coeleste	accepted name	9727	Aphyosemion coeleste	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Sky-blue killi	TRUE
Aphyosemion coeruleum	synonym	9792	Fundulopanchax sjostedti	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue gularis	TRUE
Aphyosemion cognatum	accepted name	9728	Aphyosemion cognatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Redspot panchax	TRUE
Aphyosemion congicum	accepted name	9729	Aphyosemion congicum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Congo killi	TRUE
Aphyosemion cryptum	accepted name	69594	Aphyosemion cryptum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion cyanoflavum	accepted name	69592	Aphyosemion cyanoflavum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion cyanostictum	accepted name	9815	Aphyosemion cyanostictum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Gabon jewelfish	TRUE
Aphyosemion dargei	accepted name	49475	Aphyosemion dargei	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Mbam killi	TRUE
Aphyosemion decorsei	accepted name	9730	Aphyosemion decorsei	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion deltaense	synonym	54029	Fundulopanchax deltaensis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Delta killi	TRUE
Aphyosemion ecucuense	accepted name	64222	Aphyosemion ecucuense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion edeanum	accepted name	49478	Aphyosemion edeanum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Edea killi	TRUE
Aphyosemion elberti	accepted name	54027	Aphyosemion elberti	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Red barred killi	TRUE
Aphyosemion elegans	accepted name	9731	Aphyosemion elegans	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Elegant killi	TRUE
Aphyosemion elegans christyi	synonym	9724	Aphyosemion christyi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Christy's Lyretail	TRUE
Aphyosemion erythron	accepted name	64224	Aphyosemion erythron	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion escherichi	accepted name	9760	Aphyosemion escherichi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Escherich's killi	TRUE
Aphyosemion escherischi	synonym	9760	Aphyosemion escherichi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Escherich's killi	TRUE
Aphyosemion etzeli	synonym	60515	Scriptaphyosemion etzeli	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion exignum	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion exiguum	accepted name	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion fallax	synonym	54026	Fundulopanchax fallax	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Kribi killi	TRUE
Aphyosemion fellmanni	accepted name	68941	Aphyosemion fellmanni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion ferranti	accepted name	9735	Aphyosemion ferranti	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion filamentosum	synonym	9736	Fundulopanchax filamentosus	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Plumed lyretail	TRUE
Aphyosemion flavum	synonym	9718	Aphyosemion calliurum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Banner lyretail	TRUE
Aphyosemion franzwerneri	accepted name	9737	Aphyosemion franzwerneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Goby killi	TRUE
Aphyosemion fredrodi	synonym	60346	Scriptaphyosemion fredrodi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion gardneri	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion gardneri clauseni	synonym	67241	Fundulopanchax clauseni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion gardneri gardneri	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion gardneri lacustre	synonym	56565	Fundulopanchax lacustris	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Ejagham killi	TRUE
Aphyosemion gardneri mamfense	synonym	56567	Fundulopanchax mamfensis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Mamfe killi	TRUE
Aphyosemion gardneri nigerianum	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion gardneri obuduense	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion geryi	synonym	9740	Scriptaphyosemion geryi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	Gérys killi	TRUE
Aphyosemion guentheri	synonym	4715	Nothobranchius guentheri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nothobranchius	Redtail notho	TRUE
Aphyosemion guignardi	synonym	9741	Scriptaphyosemion guignardi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion guineense	synonym	9742	Archiaphyosemion guineense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Archiaphyosemion	Guinean killi	TRUE
Aphyosemion guineense geryi	synonym	9740	Scriptaphyosemion geryi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	Gérys killi	TRUE
Aphyosemion guineensis	synonym	9742	Archiaphyosemion guineense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Archiaphyosemion	Guinean killi	TRUE
Aphyosemion gulare	synonym	9743	Fundulopanchax gularis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Gulare	TRUE
Aphyosemion gulare schwoiseri	synonym	54026	Fundulopanchax fallax	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Kribi killi	TRUE
Aphyosemion gularis	synonym	9743	Fundulopanchax gularis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Gulare	TRUE
Aphyosemion gustavi	synonym	9712	Aphyosemion batesii	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Bates' killi	TRUE
Aphyosemion haasi	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion halleri	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion hastingsi	synonym	9787	Scriptaphyosemion roloffi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion heinemanni	accepted name	9744	Aphyosemion heinemanni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Heinemann's killi	TRUE
Aphyosemion herzogi	accepted name	9745	Aphyosemion herzogi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Herzog's killi	TRUE
Aphyosemion hjerresensii	synonym	8770	Aphyosemion australe	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Lyretail panchax	TRUE
Aphyosemion hollyi	synonym	9714	Aphyosemion bivittatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Twostripe lyretail	TRUE
Aphyosemion huwaldi	synonym	61574	Callopanchax huwaldi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Callopanchax	NA	TRUE
Aphyosemion intermittens	synonym	63218	Fundulopanchax intermittens	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion jacobi	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion jaundense	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion jeanhuberi	accepted name	68432	Aphyosemion jeanhuberi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion jeanpoli	synonym	9747	Nimbapanchax jeanpoli	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nimbapanchax	Jeanpol's killi	TRUE
Aphyosemion kekemense	synonym	9716	Aphyosemion bualanum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion kiyawense	synonym	9881	Pronothobranchius kiyawensis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Pronothobranchius	NA	TRUE
Aphyosemion koungueense	accepted name	64055	Aphyosemion koungueense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion kribianum	synonym	54026	Fundulopanchax fallax	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Kribi killi	TRUE
Aphyosemion kunzi	synonym	9712	Aphyosemion batesii	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Bates' killi	TRUE
Aphyosemion labarrei	accepted name	9750	Aphyosemion labarrei	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion lacustre	synonym	56565	Fundulopanchax lacustris	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Ejagham killi	TRUE
Aphyosemion lefiniense	accepted name	49700	Aphyosemion lefiniense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion liberiense	synonym	9752	Scriptaphyosemion liberiense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion liberiense schmitti	synonym	2472	Scriptaphyosemion schmitti	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion liberiensis	synonym	9752	Scriptaphyosemion liberiense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion litoriseboris	synonym	2473	Fundulopanchax walkeri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion littoriseboris	synonym	2473	Fundulopanchax walkeri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion lividum	accepted name	64575	Aphyosemion lividum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion loboanum	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion loennbergii	accepted name	9753	Aphyosemion loennbergii	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion loloense	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion louessense	accepted name	9754	Aphyosemion louessense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion lowessense	synonym	9754	Aphyosemion louessense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion lugens	accepted name	49481	Aphyosemion lugens	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion lujae	accepted name	9755	Aphyosemion lujae	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion maeseni	synonym	2470	Nimbapanchax maeseni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nimbapanchax	NA	TRUE
Aphyosemion malumbresi	accepted name	64576	Aphyosemion malumbresi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion mandoroense	accepted name	69593	Aphyosemion mandoroense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion margaretae	synonym	9724	Aphyosemion christyi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Christy's Lyretail	TRUE
Aphyosemion marmoratum	synonym	9758	Fundulopanchax marmoratus	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Marbled lyretail	TRUE
Aphyosemion marnoi	synonym	2479	Epiplatys spilargyreius	Teleostei	Cyprinodontiformes	Nothobranchiidae	Epiplatys	NA	TRUE
Aphyosemion meinkeni	synonym	9774	Fundulopanchax oeseri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion melanogaster	accepted name	62951	Aphyosemion melanogaster	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion melanopteron	synonym	9729	Aphyosemion congicum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Congo killi	TRUE
Aphyosemion melantereon	synonym	9752	Scriptaphyosemion liberiense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion melinoeides	accepted name	64057	Aphyosemion melinoeides	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion meridionale	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion microphtalmum	synonym	9760	Aphyosemion escherichi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Escherich's killi	TRUE
Aphyosemion microphtalmum simulans	synonym	9760	Aphyosemion escherichi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Escherich's killi	TRUE
Aphyosemion microstomum	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion mikeae	synonym	9802	Aphyosemion wachtersi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion mirabile	synonym	9767	Fundulopanchax mirabilis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion mirabile intermittens	synonym	63218	Fundulopanchax intermittens	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion mirabile mirabile	synonym	9767	Fundulopanchax mirabilis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion mirabile moense	synonym	63216	Fundulopanchax moensis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion mirabile traudeae	synonym	63217	Fundulopanchax traudeae	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion moense	synonym	63216	Fundulopanchax moensis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion monroviae	synonym	9768	Callopanchax monroviae	Teleostei	Cyprinodontiformes	Nothobranchiidae	Callopanchax	NA	TRUE
Aphyosemion muelleri	synonym	9752	Scriptaphyosemion liberiense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion multicolor	synonym	9713	Aphyosemion bitaeniatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Two-striped Aphyosemion	TRUE
Aphyosemion musafirii	accepted name	66073	Aphyosemion musafirii	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion ndianum	synonym	9769	Fundulopanchax ndianus	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion neumanni	synonym	9864	Nothobranchius neumanni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nothobranchius	NA	TRUE
Aphyosemion nigerianum	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion nigerianum meridionale	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion nigri	synonym	9713	Aphyosemion bitaeniatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Two-striped Aphyosemion	TRUE
Aphyosemion nigrifluvi	synonym	68068	Scriptaphyosemion nigrifluvi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion normani	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion obscurum	synonym	9719	Aphyosemion cameronense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Cameroon killi	TRUE
Aphyosemion obuduense	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion obuduense lacustre	synonym	56565	Fundulopanchax lacustris	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Ejagham killi	TRUE
Aphyosemion obuduense obuduense	synonym	9739	Fundulopanchax gardneri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	Blue lyretail	TRUE
Aphyosemion occellatum	synonym	9773	Aphyosemion ocellatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion occidentale	synonym	9772	Callopanchax occidentalis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Callopanchax	Golden pheasant panchax	TRUE
Aphyosemion occidentale toddi	synonym	9797	Callopanchax toddi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Callopanchax	NA	TRUE
Aphyosemion occidentales	synonym	9772	Callopanchax occidentalis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Callopanchax	Golden pheasant panchax	TRUE
Aphyosemion occidentalis	synonym	9772	Callopanchax occidentalis	Teleostei	Cyprinodontiformes	Nothobranchiidae	Callopanchax	Golden pheasant panchax	TRUE
Aphyosemion ocellatum	accepted name	9773	Aphyosemion ocellatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion oeseri	synonym	9774	Fundulopanchax oeseri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion ogoense	accepted name	9775	Aphyosemion ogoense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion ogoense caudofasciatum	synonym	9720	Aphyosemion caudofasciatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Caudal-stripe killi	TRUE
Aphyosemion ogoense ogoense	synonym	9775	Aphyosemion ogoense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion ogoense ottogartneri	synonym	9775	Aphyosemion ogoense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion ogoense pyrophore	synonym	9775	Aphyosemion ogoense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion omega	accepted name	64056	Aphyosemion omega	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion pamaense	accepted name	67086	Aphyosemion pamaense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion pappenheimi	synonym	9753	Aphyosemion loennbergii	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion pascheni	accepted name	9776	Aphyosemion pascheni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion pascheni festivum	synonym	9776	Aphyosemion pascheni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion pascheni pascheni	synonym	9776	Aphyosemion pascheni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion petersi	synonym	2471	Nimbapanchax petersi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nimbapanchax	NA	TRUE
Aphyosemion petersii	synonym	2471	Nimbapanchax petersi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nimbapanchax	NA	TRUE
Aphyosemion pictum	synonym	9774	Fundulopanchax oeseri	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion plagitaenium	accepted name	65301	Aphyosemion plagitaenium	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion plagitaenium	synonym	9775	Aphyosemion ogoense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion poliaki	accepted name	49719	Aphyosemion poliaki	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion polli	accepted name	49482	Aphyosemion polli	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion polychromum	synonym	8770	Aphyosemion australe	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Lyretail panchax	TRUE
Aphyosemion powelli	synonym	49699	Fundulopanchax powelli	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion preussi	synonym	9734	Aphyosemion exiguum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	Jewel killi	TRUE
Aphyosemion pseudoelegans	accepted name	66733	Aphyosemion pseudoelegans	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion puerzli	synonym	9778	Fundulopanchax puerzli	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion pulchripinne	synonym	2471	Nimbapanchax petersi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nimbapanchax	NA	TRUE
Aphyosemion pulchripinnis	synonym	2471	Nimbapanchax petersi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Nimbapanchax	NA	TRUE
Aphyosemion punctatum	accepted name	9779	Aphyosemion punctatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion punctulatum	accepted name	62950	Aphyosemion punctulatum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion pyrophore	synonym	9775	Aphyosemion ogoense	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion raddai	accepted name	9782	Aphyosemion raddai	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion riggenbachi	accepted name	9785	Aphyosemion riggenbachi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
Aphyosemion robertsoni	synonym	9786	Fundulopanchax robertsoni	Teleostei	Cyprinodontiformes	Nothobranchiidae	Fundulopanchax	NA	TRUE
Aphyosemion roloffi	synonym	9787	Scriptaphyosemion roloffi	Teleostei	Cyprinodontiformes	Nothobranchiidae	Scriptaphyosemion	NA	TRUE
Aphyosemion rubrifasciatum	synonym	9716	Aphyosemion bualanum	Teleostei	Cyprinodontiformes	Nothobranchiidae	Aphyosemion	NA	TRUE
